	edge_type	node1	node2	weight
('ARID1A', 'YAP1', 'STRING_textmining')	STRING_textmining	ARID1A	YAP1	134
('ARID1A', 'TP53', 'STRING_coexpression')	STRING_coexpression	ARID1A	TP53	61
('ARID1A', 'TP53', 'STRING_experimental')	STRING_experimental	ARID1A	TP53	379
('ARID1A', 'TP53', 'STRING_textmining')	STRING_textmining	ARID1A	TP53	837
('ACTN4', 'ARID1A', 'PCnet_other')	PCnet_other	ACTN4	ARID1A	1
('ARID1A', 'NOTCH1', 'STRING_coexpression')	STRING_coexpression	ARID1A	NOTCH1	63
('ARID1A', 'NOTCH1', 'STRING_textmining')	STRING_textmining	ARID1A	NOTCH1	437
('ARID1A', 'TCF7L2', 'STRING_coexpression')	STRING_coexpression	ARID1A	TCF7L2	61
('ARID1A', 'TCF7L2', 'STRING_textmining')	STRING_textmining	ARID1A	TCF7L2	277
('ACTB', 'ARID1A', 'STRING_database')	STRING_database	ACTB	ARID1A	900
('ACTB', 'ARID1A', 'STRING_coexpression')	STRING_coexpression	ACTB	ARID1A	61
('ACTB', 'ARID1A', 'STRING_experimental')	STRING_experimental	ACTB	ARID1A	112
('ACTB', 'ARID1A', 'STRING_textmining')	STRING_textmining	ACTB	ARID1A	170
('ARID1A', 'KDM5C', 'STRING_coexpression')	STRING_coexpression	ARID1A	KDM5C	86
('ARID1A', 'KDM5C', 'STRING_textmining')	STRING_textmining	ARID1A	KDM5C	470
('SRCAP', 'TCF7L2', 'PCnet_other')	PCnet_other	SRCAP	TCF7L2	1
('RERE', 'TCF7L2', 'PCnet_other')	PCnet_other	RERE	TCF7L2	1
('SMARCB1', 'TCF7L2', 'PCnet_other')	PCnet_other	SMARCB1	TCF7L2	1
('PYGO1', 'TCF7L2', 'STRING_database')	STRING_database	PYGO1	TCF7L2	900
('PYGO1', 'TCF7L2', 'STRING_textmining')	STRING_textmining	PYGO1	TCF7L2	86
('SGK1', 'TCF7L2', 'PCnet_other')	PCnet_other	SGK1	TCF7L2	1
('ASH2L', 'TCF7L2', 'STRING_database')	STRING_database	ASH2L	TCF7L2	900
('DGUOK', 'TCF7L2', 'PCnet_other')	PCnet_other	DGUOK	TCF7L2	1
('TCF7L2', 'TRIO', 'PCnet_other')	PCnet_other	TCF7L2	TRIO	1
('RBBP5', 'TCF7L2', 'STRING_database')	STRING_database	RBBP5	TCF7L2	900
('CTNNB1', 'TCF7L2', 'STRING_database')	STRING_database	CTNNB1	TCF7L2	900
('CTNNB1', 'TCF7L2', 'STRING_experimental')	STRING_experimental	CTNNB1	TCF7L2	827
('CTNNB1', 'TCF7L2', 'STRING_textmining')	STRING_textmining	CTNNB1	TCF7L2	926
('SOX9', 'TCF7L2', 'STRING_coexpression')	STRING_coexpression	SOX9	TCF7L2	61
('SOX9', 'TCF7L2', 'STRING_experimental')	STRING_experimental	SOX9	TCF7L2	175
('SOX9', 'TCF7L2', 'STRING_textmining')	STRING_textmining	SOX9	TCF7L2	221
('SPTBN1', 'TCF7L2', 'PCnet_other')	PCnet_other	SPTBN1	TCF7L2	1
('HIST1H2AJ', 'TCF7L2', 'STRING_database')	STRING_database	HIST1H2AJ	TCF7L2	900
('HIST1H2AJ', 'TCF7L2', 'STRING_textmining')	STRING_textmining	HIST1H2AJ	TCF7L2	49
('BCL9L', 'TCF7L2', 'STRING_database')	STRING_database	BCL9L	TCF7L2	900
('BCL9L', 'TCF7L2', 'STRING_coexpression')	STRING_coexpression	BCL9L	TCF7L2	61
('BCL9L', 'TCF7L2', 'STRING_textmining')	STRING_textmining	BCL9L	TCF7L2	340
('JAG1', 'TCF7L2', 'STRING_experimental')	STRING_experimental	JAG1	TCF7L2	53
('JAG1', 'TCF7L2', 'STRING_textmining')	STRING_textmining	JAG1	TCF7L2	336
('HIST1H2AC', 'TCF7L2', 'STRING_database')	STRING_database	HIST1H2AC	TCF7L2	900
('HIST1H2AC', 'TCF7L2', 'STRING_coexpression')	STRING_coexpression	HIST1H2AC	TCF7L2	49
('HIST1H2AC', 'TCF7L2', 'STRING_textmining')	STRING_textmining	HIST1H2AC	TCF7L2	49
('TCF7L2', 'YAP1', 'STRING_database')	STRING_database	TCF7L2	YAP1	800
('TCF7L2', 'YAP1', 'STRING_coexpression')	STRING_coexpression	TCF7L2	YAP1	77
('TCF7L2', 'YAP1', 'STRING_textmining')	STRING_textmining	TCF7L2	YAP1	473
('CTNNB1', 'PLEKHA7', 'STRING_database')	STRING_database	CTNNB1	PLEKHA7	900
('CTNNB1', 'PLEKHA7', 'STRING_experimental')	STRING_experimental	CTNNB1	PLEKHA7	197
('CTNNB1', 'PLEKHA7', 'STRING_textmining')	STRING_textmining	CTNNB1	PLEKHA7	255
('PLEKHA7', 'SIPA1L1', 'PCnet_other')	PCnet_other	PLEKHA7	SIPA1L1	1
('ACTB', 'MYH10', 'STRING_database')	STRING_database	ACTB	MYH10	800
('ACTB', 'MYH10', 'STRING_coexpression')	STRING_coexpression	ACTB	MYH10	66
('ACTB', 'MYH10', 'STRING_experimental')	STRING_experimental	ACTB	MYH10	325
('ACTB', 'MYH10', 'STRING_textmining')	STRING_textmining	ACTB	MYH10	425
('ACTB', 'HIST1H3D', 'STRING_coexpression')	STRING_coexpression	ACTB	HIST1H3D	49
('ACTB', 'HIST1H3D', 'STRING_experimental')	STRING_experimental	ACTB	HIST1H3D	84
('ACTB', 'HIST1H3D', 'STRING_textmining')	STRING_textmining	ACTB	HIST1H3D	179
('ACTB', 'HIST1H3D', 'STRING_other')	STRING_other	ACTB	HIST1H3D	1
('ACTB', 'ASH2L', 'PCnet_other')	PCnet_other	ACTB	ASH2L	1
('ACTB', 'SPTAN1', 'STRING_coexpression')	STRING_coexpression	ACTB	SPTAN1	54
('ACTB', 'SPTAN1', 'STRING_experimental')	STRING_experimental	ACTB	SPTAN1	379
('ACTB', 'SPTAN1', 'STRING_textmining')	STRING_textmining	ACTB	SPTAN1	270
('ACTB', 'MYO1B', 'STRING_coexpression')	STRING_coexpression	ACTB	MYO1B	64
('ACTB', 'MYO1B', 'STRING_experimental')	STRING_experimental	ACTB	MYO1B	289
('ACTB', 'MYO1B', 'STRING_textmining')	STRING_textmining	ACTB	MYO1B	163
('ACTB', 'CTNNB1', 'STRING_coexpression')	STRING_coexpression	ACTB	CTNNB1	64
('ACTB', 'CTNNB1', 'STRING_experimental')	STRING_experimental	ACTB	CTNNB1	321
('ACTB', 'CTNNB1', 'STRING_textmining')	STRING_textmining	ACTB	CTNNB1	533
('ACTB', 'MMP16', 'STRING_textmining')	STRING_textmining	ACTB	MMP16	151
('ACTB', 'HIST1H2AJ', 'STRING_database')	STRING_database	ACTB	HIST1H2AJ	900
('ACTB', 'HIST1H2AJ', 'STRING_coexpression')	STRING_coexpression	ACTB	HIST1H2AJ	63
('ACTB', 'HIST1H2AJ', 'STRING_experimental')	STRING_experimental	ACTB	HIST1H2AJ	83
('ACTB', 'HIST1H2AJ', 'STRING_textmining')	STRING_textmining	ACTB	HIST1H2AJ	62
('ACTB', 'HIST1H2AC', 'STRING_database')	STRING_database	ACTB	HIST1H2AC	900
('ACTB', 'HIST1H2AC', 'STRING_coexpression')	STRING_coexpression	ACTB	HIST1H2AC	63
('ACTB', 'HIST1H2AC', 'STRING_experimental')	STRING_experimental	ACTB	HIST1H2AC	83
('ACTB', 'HIST1H2AC', 'STRING_textmining')	STRING_textmining	ACTB	HIST1H2AC	81
('ACTB', 'RERE', 'STRING_experimental')	STRING_experimental	ACTB	RERE	156
('ACTB', 'HIST4H4', 'STRING_coexpression')	STRING_coexpression	ACTB	HIST4H4	56
('ACTB', 'HIST4H4', 'STRING_experimental')	STRING_experimental	ACTB	HIST4H4	79
('ACTB', 'HIST4H4', 'STRING_textmining')	STRING_textmining	ACTB	HIST4H4	395
('ACTB', 'MT3', 'STRING_experimental')	STRING_experimental	ACTB	MT3	193
('ACTB', 'MT3', 'STRING_textmining')	STRING_textmining	ACTB	MT3	213
('ACTB', 'H3F3C', 'STRING_coexpression')	STRING_coexpression	ACTB	H3F3C	61
('ACTB', 'H3F3C', 'STRING_experimental')	STRING_experimental	ACTB	H3F3C	84
('ACTB', 'H3F3C', 'STRING_textmining')	STRING_textmining	ACTB	H3F3C	134
('ACTB', 'H3F3C', 'STRING_other')	STRING_other	ACTB	H3F3C	1
('ACTB', 'TTN', 'STRING_coexpression')	STRING_coexpression	ACTB	TTN	64
('ACTB', 'TTN', 'STRING_experimental')	STRING_experimental	ACTB	TTN	186
('ACTB', 'TTN', 'STRING_textmining')	STRING_textmining	ACTB	TTN	438
('ACTB', 'SIPA1L1', 'PCnet_other')	PCnet_other	ACTB	SIPA1L1	1
('ACTB', 'EPB41L2', 'STRING_experimental')	STRING_experimental	ACTB	EPB41L2	313
('ACTB', 'SMARCB1', 'STRING_database')	STRING_database	ACTB	SMARCB1	900
('ACTB', 'SMARCB1', 'STRING_coexpression')	STRING_coexpression	ACTB	SMARCB1	87
('ACTB', 'SMARCB1', 'STRING_experimental')	STRING_experimental	ACTB	SMARCB1	268
('ACTB', 'SMARCB1', 'STRING_textmining')	STRING_textmining	ACTB	SMARCB1	226
('ACTB', 'MAPT', 'STRING_coexpression')	STRING_coexpression	ACTB	MAPT	62
('ACTB', 'MAPT', 'STRING_experimental')	STRING_experimental	ACTB	MAPT	454
('ACTB', 'MAPT', 'STRING_textmining')	STRING_textmining	ACTB	MAPT	326
('ACTB', 'HIST1H3A', 'STRING_coexpression')	STRING_coexpression	ACTB	HIST1H3A	49
('ACTB', 'HIST1H3A', 'STRING_experimental')	STRING_experimental	ACTB	HIST1H3A	84
('ACTB', 'HIST1H3A', 'STRING_textmining')	STRING_textmining	ACTB	HIST1H3A	202
('ACTB', 'HIST1H3A', 'STRING_other')	STRING_other	ACTB	HIST1H3A	1
('ACTB', 'HIST1H3J', 'STRING_coexpression')	STRING_coexpression	ACTB	HIST1H3J	49
('ACTB', 'HIST1H3J', 'STRING_experimental')	STRING_experimental	ACTB	HIST1H3J	84
('ACTB', 'HIST1H3J', 'STRING_textmining')	STRING_textmining	ACTB	HIST1H3J	202
('ACTB', 'HIST1H3J', 'STRING_other')	STRING_other	ACTB	HIST1H3J	1
('ACTB', 'HIST1H3H', 'STRING_coexpression')	STRING_coexpression	ACTB	HIST1H3H	49
('ACTB', 'HIST1H3H', 'STRING_experimental')	STRING_experimental	ACTB	HIST1H3H	84
('ACTB', 'HIST1H3H', 'STRING_textmining')	STRING_textmining	ACTB	HIST1H3H	202
('ACTB', 'HIST1H3H', 'STRING_other')	STRING_other	ACTB	HIST1H3H	1
('ACTB', 'ACTN2', 'STRING_coexpression')	STRING_coexpression	ACTB	ACTN2	87
('ACTB', 'ACTN2', 'STRING_experimental')	STRING_experimental	ACTB	ACTN2	816
('ACTB', 'ACTN2', 'STRING_textmining')	STRING_textmining	ACTB	ACTN2	322
('ACTB', 'SRCAP', 'STRING_coexpression')	STRING_coexpression	ACTB	SRCAP	52
('ACTB', 'SRCAP', 'STRING_experimental')	STRING_experimental	ACTB	SRCAP	360
('ACTB', 'SRCAP', 'STRING_textmining')	STRING_textmining	ACTB	SRCAP	99
('ACTB', 'TP53', 'STRING_coexpression')	STRING_coexpression	ACTB	TP53	61
('ACTB', 'TP53', 'STRING_experimental')	STRING_experimental	ACTB	TP53	101
('ACTB', 'TP53', 'STRING_textmining')	STRING_textmining	ACTB	TP53	680
('ACTB', 'ACTN4', 'STRING_database')	STRING_database	ACTB	ACTN4	800
('ACTB', 'ACTN4', 'STRING_coexpression')	STRING_coexpression	ACTB	ACTN4	113
('ACTB', 'ACTN4', 'STRING_experimental')	STRING_experimental	ACTB	ACTN4	381
('ACTB', 'ACTN4', 'STRING_textmining')	STRING_textmining	ACTB	ACTN4	434
('ACTB', 'AFDN', 'PCnet_other')	PCnet_other	ACTB	AFDN	1
('ACTB', 'CALML6', 'STRING_coexpression')	STRING_coexpression	ACTB	CALML6	54
('ACTB', 'CALML6', 'STRING_experimental')	STRING_experimental	ACTB	CALML6	261
('ACTB', 'CALML6', 'STRING_textmining')	STRING_textmining	ACTB	CALML6	88
('ACTB', 'RBBP5', 'PCnet_other')	PCnet_other	ACTB	RBBP5	1
('ACTB', 'GRIN2B', 'STRING_experimental')	STRING_experimental	ACTB	GRIN2B	131
('ACTB', 'GRIN2B', 'STRING_textmining')	STRING_textmining	ACTB	GRIN2B	228
('ACTB', 'SPTBN1', 'STRING_coexpression')	STRING_coexpression	ACTB	SPTBN1	61
('ACTB', 'SPTBN1', 'STRING_experimental')	STRING_experimental	ACTB	SPTBN1	261
('ACTB', 'SPTBN1', 'STRING_textmining')	STRING_textmining	ACTB	SPTBN1	137
('GRIN2B', 'PTPN11', 'STRING_experimental')	STRING_experimental	GRIN2B	PTPN11	454
('GRIN2B', 'PTPN11', 'STRING_textmining')	STRING_textmining	GRIN2B	PTPN11	462
('PTPN11', 'TP53', 'STRING_coexpression')	STRING_coexpression	PTPN11	TP53	55
('PTPN11', 'TP53', 'STRING_textmining')	STRING_textmining	PTPN11	TP53	535
('PTPN11', 'SGK1', 'PCnet_other')	PCnet_other	PTPN11	SGK1	1
('ACTN4', 'PTPN11', 'STRING_coexpression')	STRING_coexpression	ACTN4	PTPN11	54
('ACTN4', 'PTPN11', 'STRING_experimental')	STRING_experimental	ACTN4	PTPN11	384
('ACTN4', 'PTPN11', 'STRING_textmining')	STRING_textmining	ACTN4	PTPN11	102
('DST', 'PTPN11', 'PCnet_other')	PCnet_other	DST	PTPN11	1
('AFDN', 'PTPN11', 'PCnet_other')	PCnet_other	AFDN	PTPN11	1
('CTNNB1', 'PTPN11', 'STRING_database')	STRING_database	CTNNB1	PTPN11	900
('CTNNB1', 'PTPN11', 'STRING_coexpression')	STRING_coexpression	CTNNB1	PTPN11	91
('CTNNB1', 'PTPN11', 'STRING_experimental')	STRING_experimental	CTNNB1	PTPN11	390
('CTNNB1', 'PTPN11', 'STRING_textmining')	STRING_textmining	CTNNB1	PTPN11	471
('PTPN11', 'RET', 'STRING_database')	STRING_database	PTPN11	RET	900
('PTPN11', 'RET', 'STRING_coexpression')	STRING_coexpression	PTPN11	RET	63
('PTPN11', 'RET', 'STRING_experimental')	STRING_experimental	PTPN11	RET	435
('PTPN11', 'RET', 'STRING_textmining')	STRING_textmining	PTPN11	RET	551
('PTPN11', 'SPTBN1', 'PCnet_other')	PCnet_other	PTPN11	SPTBN1	1
('KDM5C', 'SRCAP', 'STRING_coexpression')	STRING_coexpression	KDM5C	SRCAP	146
('KDM5C', 'SRCAP', 'STRING_experimental')	STRING_experimental	KDM5C	SRCAP	177
('KDM5C', 'SRCAP', 'STRING_textmining')	STRING_textmining	KDM5C	SRCAP	120
('KDM5C', 'TP53', 'STRING_textmining')	STRING_textmining	KDM5C	TP53	388
('ASH2L', 'KDM5C', 'STRING_coexpression')	STRING_coexpression	ASH2L	KDM5C	89
('ASH2L', 'KDM5C', 'STRING_experimental')	STRING_experimental	ASH2L	KDM5C	285
('ASH2L', 'KDM5C', 'STRING_textmining')	STRING_textmining	ASH2L	KDM5C	585
('H3F3C', 'KDM5C', 'STRING_experimental')	STRING_experimental	H3F3C	KDM5C	302
('H3F3C', 'KDM5C', 'STRING_textmining')	STRING_textmining	H3F3C	KDM5C	135
('HIST1H3D', 'KDM5C', 'STRING_experimental')	STRING_experimental	HIST1H3D	KDM5C	302
('HIST1H3D', 'KDM5C', 'STRING_textmining')	STRING_textmining	HIST1H3D	KDM5C	199
('HIST1H3J', 'KDM5C', 'STRING_experimental')	STRING_experimental	HIST1H3J	KDM5C	302
('HIST1H3J', 'KDM5C', 'STRING_textmining')	STRING_textmining	HIST1H3J	KDM5C	144
('HIST1H3H', 'KDM5C', 'STRING_experimental')	STRING_experimental	HIST1H3H	KDM5C	302
('HIST1H3H', 'KDM5C', 'STRING_textmining')	STRING_textmining	HIST1H3H	KDM5C	144
('CBX4', 'KDM5C', 'STRING_coexpression')	STRING_coexpression	CBX4	KDM5C	69
('CBX4', 'KDM5C', 'STRING_experimental')	STRING_experimental	CBX4	KDM5C	87
('CBX4', 'KDM5C', 'STRING_textmining')	STRING_textmining	CBX4	KDM5C	181
('CNTN2', 'MMP16', 'PCnet_other')	PCnet_other	CNTN2	MMP16	1
('MMP16', 'TRIO', 'PCnet_other')	PCnet_other	MMP16	TRIO	1
('MMP16', 'TP53', 'STRING_textmining')	STRING_textmining	MMP16	TP53	192
('CTNNB1', 'MMP16', 'STRING_experimental')	STRING_experimental	CTNNB1	MMP16	169
('CTNNB1', 'MMP16', 'STRING_textmining')	STRING_textmining	CTNNB1	MMP16	271
('NFATC4', 'TP53', 'STRING_textmining')	STRING_textmining	NFATC4	TP53	226
('NFATC4', 'RET', 'STRING_experimental')	STRING_experimental	NFATC4	RET	75
('NFATC4', 'RET', 'STRING_textmining')	STRING_textmining	NFATC4	RET	230
('MYH10', 'SPTAN1', 'STRING_coexpression')	STRING_coexpression	MYH10	SPTAN1	62
('MYH10', 'SPTAN1', 'STRING_textmining')	STRING_textmining	MYH10	SPTAN1	198
('ACTN2', 'SPTAN1', 'STRING_database')	STRING_database	ACTN2	SPTAN1	900
('ACTN2', 'SPTAN1', 'STRING_coexpression')	STRING_coexpression	ACTN2	SPTAN1	63
('ACTN2', 'SPTAN1', 'STRING_experimental')	STRING_experimental	ACTN2	SPTAN1	177
('ACTN2', 'SPTAN1', 'STRING_textmining')	STRING_textmining	ACTN2	SPTAN1	86
('EPB41L2', 'SPTAN1', 'STRING_coexpression')	STRING_coexpression	EPB41L2	SPTAN1	174
('EPB41L2', 'SPTAN1', 'STRING_experimental')	STRING_experimental	EPB41L2	SPTAN1	396
('EPB41L2', 'SPTAN1', 'STRING_textmining')	STRING_textmining	EPB41L2	SPTAN1	394
('SPTAN1', 'TP53', 'PCnet_other')	PCnet_other	SPTAN1	TP53	1
('GRIN2B', 'SPTAN1', 'STRING_coexpression')	STRING_coexpression	GRIN2B	SPTAN1	61
('GRIN2B', 'SPTAN1', 'STRING_experimental')	STRING_experimental	GRIN2B	SPTAN1	428
('GRIN2B', 'SPTAN1', 'STRING_textmining')	STRING_textmining	GRIN2B	SPTAN1	203
('ACTN4', 'SPTAN1', 'STRING_database')	STRING_database	ACTN4	SPTAN1	900
('ACTN4', 'SPTAN1', 'STRING_coexpression')	STRING_coexpression	ACTN4	SPTAN1	139
('ACTN4', 'SPTAN1', 'STRING_experimental')	STRING_experimental	ACTN4	SPTAN1	166
('ACTN4', 'SPTAN1', 'STRING_textmining')	STRING_textmining	ACTN4	SPTAN1	175
('DST', 'SPTAN1', 'STRING_coexpression')	STRING_coexpression	DST	SPTAN1	136
('DST', 'SPTAN1', 'STRING_experimental')	STRING_experimental	DST	SPTAN1	188
('DST', 'SPTAN1', 'STRING_textmining')	STRING_textmining	DST	SPTAN1	105
('RET', 'SPTAN1', 'PCnet_other')	PCnet_other	RET	SPTAN1	1
('MYO1B', 'SPTAN1', 'PCnet_other')	PCnet_other	MYO1B	SPTAN1	1
('CTNNB1', 'SPTAN1', 'STRING_coexpression')	STRING_coexpression	CTNNB1	SPTAN1	108
('CTNNB1', 'SPTAN1', 'STRING_textmining')	STRING_textmining	CTNNB1	SPTAN1	244
('RERE', 'SPTAN1', 'PCnet_other')	PCnet_other	RERE	SPTAN1	1
('SMARCB1', 'SPTAN1', 'PCnet_other')	PCnet_other	SMARCB1	SPTAN1	1
('SPTAN1', 'TRIO', 'PCnet_other')	PCnet_other	SPTAN1	TRIO	1
('SPTAN1', 'SPTBN1', 'STRING_database')	STRING_database	SPTAN1	SPTBN1	900
('SPTAN1', 'SPTBN1', 'STRING_coexpression')	STRING_coexpression	SPTAN1	SPTBN1	906
('SPTAN1', 'SPTBN1', 'STRING_experimental')	STRING_experimental	SPTAN1	SPTBN1	957
('SPTAN1', 'SPTBN1', 'STRING_textmining')	STRING_textmining	SPTAN1	SPTBN1	307
('HIST1H2AJ', 'HOXC4', 'STRING_database')	STRING_database	HIST1H2AJ	HOXC4	900
('HIST1H2AC', 'HOXC4', 'STRING_database')	STRING_database	HIST1H2AC	HOXC4	900
('HOXC4', 'RBBP5', 'STRING_database')	STRING_database	HOXC4	RBBP5	900
('HOXC4', 'RBBP5', 'STRING_textmining')	STRING_textmining	HOXC4	RBBP5	97
('ASH2L', 'HOXC4', 'STRING_database')	STRING_database	ASH2L	HOXC4	900
('ASH2L', 'HOXC4', 'STRING_experimental')	STRING_experimental	ASH2L	HOXC4	137
('ASH2L', 'HOXC4', 'STRING_textmining')	STRING_textmining	ASH2L	HOXC4	93
('ACTN2', 'CNTN2', 'STRING_coexpression')	STRING_coexpression	ACTN2	CNTN2	163
('ACTN2', 'CNTN2', 'STRING_textmining')	STRING_textmining	ACTN2	CNTN2	42
('CNTN2', 'NR6A1', 'PCnet_other')	PCnet_other	CNTN2	NR6A1	1
('CNTN2', 'MYCN', 'PCnet_other')	PCnet_other	CNTN2	MYCN	1
('CNTN2', 'MT3', 'STRING_coexpression')	STRING_coexpression	CNTN2	MT3	465
('CNTN2', 'RET', 'STRING_coexpression')	STRING_coexpression	CNTN2	RET	98
('CNTN2', 'RET', 'STRING_experimental')	STRING_experimental	CNTN2	RET	126
('CNTN2', 'RET', 'STRING_textmining')	STRING_textmining	CNTN2	RET	75
('CALB2', 'CNTN2', 'STRING_coexpression')	STRING_coexpression	CALB2	CNTN2	156
('CALB2', 'CNTN2', 'STRING_textmining')	STRING_textmining	CALB2	CNTN2	260
('CNTN2', 'MAPT', 'STRING_coexpression')	STRING_coexpression	CNTN2	MAPT	345
('CNTN2', 'MAPT', 'STRING_textmining')	STRING_textmining	CNTN2	MAPT	144
('CNTN2', 'LRRN2', 'STRING_coexpression')	STRING_coexpression	CNTN2	LRRN2	98
('CNTN2', 'LRRN2', 'STRING_experimental')	STRING_experimental	CNTN2	LRRN2	137
('CNTN2', 'LRRN2', 'STRING_textmining')	STRING_textmining	CNTN2	LRRN2	154
('ASH2L', 'MLL2', 'PCnet_other')	PCnet_other	ASH2L	MLL2	1
('ASH2L', 'RBBP5', 'STRING_database')	STRING_database	ASH2L	RBBP5	900
('ASH2L', 'RBBP5', 'STRING_coexpression')	STRING_coexpression	ASH2L	RBBP5	167
('ASH2L', 'RBBP5', 'STRING_experimental')	STRING_experimental	ASH2L	RBBP5	907
('ASH2L', 'RBBP5', 'STRING_textmining')	STRING_textmining	ASH2L	RBBP5	973
('CTNNB1', 'RBBP5', 'STRING_database')	STRING_database	CTNNB1	RBBP5	900
('CTNNB1', 'RBBP5', 'STRING_experimental')	STRING_experimental	CTNNB1	RBBP5	358
('CTNNB1', 'RBBP5', 'STRING_textmining')	STRING_textmining	CTNNB1	RBBP5	80
('HIST1H2AJ', 'RBBP5', 'STRING_database')	STRING_database	HIST1H2AJ	RBBP5	900
('HIST1H2AJ', 'RBBP5', 'STRING_experimental')	STRING_experimental	HIST1H2AJ	RBBP5	84
('HIST1H2AJ', 'RBBP5', 'STRING_textmining')	STRING_textmining	HIST1H2AJ	RBBP5	68
('BCL9L', 'RBBP5', 'STRING_database')	STRING_database	BCL9L	RBBP5	900
('HIST1H2AC', 'RBBP5', 'STRING_database')	STRING_database	HIST1H2AC	RBBP5	900
('HIST1H2AC', 'RBBP5', 'STRING_experimental')	STRING_experimental	HIST1H2AC	RBBP5	84
('HIST1H2AC', 'RBBP5', 'STRING_textmining')	STRING_textmining	HIST1H2AC	RBBP5	64
('RARB', 'RBBP5', 'STRING_database')	STRING_database	RARB	RBBP5	900
('H3F3C', 'RBBP5', 'STRING_experimental')	STRING_experimental	H3F3C	RBBP5	163
('H3F3C', 'RBBP5', 'STRING_textmining')	STRING_textmining	H3F3C	RBBP5	165
('N4BP2', 'RBBP5', 'PCnet_other')	PCnet_other	N4BP2	RBBP5	1
('RBBP5', 'SMARCB1', 'STRING_coexpression')	STRING_coexpression	RBBP5	SMARCB1	176
('RBBP5', 'SMARCB1', 'STRING_textmining')	STRING_textmining	RBBP5	SMARCB1	254
('PYGO1', 'RBBP5', 'STRING_database')	STRING_database	PYGO1	RBBP5	900
('PYGO1', 'RBBP5', 'STRING_coexpression')	STRING_coexpression	PYGO1	RBBP5	62
('PYGO1', 'RBBP5', 'STRING_textmining')	STRING_textmining	PYGO1	RBBP5	80
('RBBP5', 'WDR82P1', 'PCnet_other')	PCnet_other	RBBP5	WDR82P1	1
('HIST4H4', 'RBBP5', 'STRING_experimental')	STRING_experimental	HIST4H4	RBBP5	124
('HIST4H4', 'RBBP5', 'STRING_textmining')	STRING_textmining	HIST4H4	RBBP5	321
('RBBP5', 'SMYD2', 'STRING_coexpression')	STRING_coexpression	RBBP5	SMYD2	93
('RBBP5', 'SMYD2', 'STRING_experimental')	STRING_experimental	RBBP5	SMYD2	266
('RBBP5', 'SMYD2', 'STRING_textmining')	STRING_textmining	RBBP5	SMYD2	356
('HIST1H3J', 'RBBP5', 'STRING_experimental')	STRING_experimental	HIST1H3J	RBBP5	163
('HIST1H3J', 'RBBP5', 'STRING_textmining')	STRING_textmining	HIST1H3J	RBBP5	167
('RBBP5', 'TP53', 'STRING_experimental')	STRING_experimental	RBBP5	TP53	373
('RBBP5', 'TP53', 'STRING_textmining')	STRING_textmining	RBBP5	TP53	193
('HIST1H3H', 'RBBP5', 'STRING_experimental')	STRING_experimental	HIST1H3H	RBBP5	163
('HIST1H3H', 'RBBP5', 'STRING_textmining')	STRING_textmining	HIST1H3H	RBBP5	167
('ING1', 'RBBP5', 'STRING_coexpression')	STRING_coexpression	ING1	RBBP5	54
('ING1', 'RBBP5', 'STRING_experimental')	STRING_experimental	ING1	RBBP5	99
('ING1', 'RBBP5', 'STRING_textmining')	STRING_textmining	ING1	RBBP5	115
('ING2', 'RBBP5', 'STRING_experimental')	STRING_experimental	ING2	RBBP5	99
('ING2', 'RBBP5', 'STRING_textmining')	STRING_textmining	ING2	RBBP5	186
('RBBP5', 'TAF3', 'STRING_coexpression')	STRING_coexpression	RBBP5	TAF3	80
('RBBP5', 'TAF3', 'STRING_experimental')	STRING_experimental	RBBP5	TAF3	99
('RBBP5', 'TAF3', 'STRING_textmining')	STRING_textmining	RBBP5	TAF3	388
('LRRN2', 'RBBP5', 'STRING_textmining')	STRING_textmining	LRRN2	RBBP5	254
('HIST1H3A', 'RBBP5', 'STRING_experimental')	STRING_experimental	HIST1H3A	RBBP5	224
('HIST1H3A', 'RBBP5', 'STRING_textmining')	STRING_textmining	HIST1H3A	RBBP5	167
('HIST1H3D', 'RBBP5', 'STRING_experimental')	STRING_experimental	HIST1H3D	RBBP5	163
('HIST1H3D', 'RBBP5', 'STRING_textmining')	STRING_textmining	HIST1H3D	RBBP5	275
('ASH2L', 'KANSL3', 'PCnet_other')	PCnet_other	ASH2L	KANSL3	1
('MYCN', 'RARB', 'STRING_textmining')	STRING_textmining	MYCN	RARB	161
('MYCN', 'PSEN2', 'STRING_textmining')	STRING_textmining	MYCN	PSEN2	226
('MYCN', 'NOTCH1', 'STRING_textmining')	STRING_textmining	MYCN	NOTCH1	538
('MAPT', 'MYCN', 'STRING_textmining')	STRING_textmining	MAPT	MYCN	163
('MT3', 'MYCN', 'PCnet_other')	PCnet_other	MT3	MYCN	1
('CHD5', 'SRCAP', 'STRING_coexpression')	STRING_coexpression	CHD5	SRCAP	86
('CHD5', 'SRCAP', 'STRING_experimental')	STRING_experimental	CHD5	SRCAP	107
('CHD5', 'SRCAP', 'STRING_textmining')	STRING_textmining	CHD5	SRCAP	79
('CHD5', 'RERE', 'STRING_database')	STRING_database	CHD5	RERE	360
('CHD5', 'RERE', 'STRING_coexpression')	STRING_coexpression	CHD5	RERE	61
('CHD5', 'RERE', 'STRING_textmining')	STRING_textmining	CHD5	RERE	181
