symbol	description	original_symbol	matches
UPF3B	"UPF3B, regulator of nonsense mediated mRNA decay"	UPF3B	
URB1	URB1 ribosome biogenesis 1 homolog (S. cerevisiae)	URB1	
UROD	uroporphyrinogen decarboxylase	UROD	
USP15	ubiquitin specific peptidase 15	USP15	
USP24	ubiquitin specific peptidase 24	USP24	
USP29	ubiquitin specific peptidase 29	USP29	
USP45	ubiquitin specific peptidase 45	USP45	
USP46	ubiquitin specific peptidase 46	USP46	
USP7	ubiquitin specific peptidase 7	USP7	
UTP20	"UTP20, small subunit processome component"	UTP20	
VAV3	vav guanine nucleotide exchange factor 3	VAV3	
VCP	valosin containing protein	VCP	
VPS13D	vacuolar protein sorting 13 homolog D	VPS13D	
VPS37A	"VPS37A, ESCRT-I subunit"	VPS37A	
VPS39	"VPS39, HOPS complex subunit"	VPS39	
VPS4A	vacuolar protein sorting 4 homolog A	VPS4A	
VSIG1	V-set and immunoglobulin domain containing 1	VSIG1	
VSIG4	V-set and immunoglobulin domain containing 4	VSIG4	
WAC	WW domain containing adaptor with coiled-coil	WAC	
GALNT17	polypeptide N-acetylgalactosaminyltransferase 17	WBSCR17	DIF
WDFY3	WD repeat and FYVE domain containing 3	WDFY3	
WDR26	WD repeat domain 26	WDR26	
WDR33	WD repeat domain 33	WDR33	
WDR45	WD repeat domain 45	WDR45	
WDR45B	WD repeat domain 45B	WDR45B	
NSD2	nuclear receptor binding SET domain protein 2	WHSC1	DIF
NSD3	nuclear receptor binding SET domain protein 3	WHSC1L1	DIF
WNT7B	Wnt family member 7B	WNT7B	
WNT9A	Wnt family member 9A	WNT9A	
XKR6	XK related 6	XKR6	
XPO1	exportin 1	XPO1	
XYLT2	xylosyltransferase 2	XYLT2	
YIPF5	Yip1 domain family member 5	YIPF5	
YTHDC1	YTH domain containing 1	YTHDC1	
ZBTB40	zinc finger and BTB domain containing 40	ZBTB40	
ZBTB41	zinc finger and BTB domain containing 41	ZBTB41	
ZBTB49	zinc finger and BTB domain containing 49	ZBTB49	
ZC3H4	zinc finger CCCH-type containing 4	ZC3H4	
ZEB2	zinc finger E-box binding homeobox 2	ZEB2	
ZFHX3	zinc finger homeobox 3	ZFHX3	
ZFP2	ZFP2 zinc finger protein	ZFP2	
ZFPM2	"zinc finger protein, FOG family member 2"	ZFPM2	
ZFYVE26	zinc finger FYVE-type containing 26	ZFYVE26	
ZFYVE9	zinc finger FYVE-type containing 9	ZFYVE9	
ZMYND11	zinc finger MYND-type containing 11	ZMYND11	
ZNF174	zinc finger protein 174	ZNF174	
ZNF248	zinc finger protein 248	ZNF248	
ZNF292	zinc finger protein 292	ZNF292	
ZNF490	zinc finger protein 490	ZNF490	
ZNF521	zinc finger protein 521	ZNF521	
ZNF559	zinc finger protein 559	ZNF559	
ZNF598	zinc finger protein 598	ZNF598	
ZNF614	zinc finger protein 614	ZNF614	
ZNF623	zinc finger protein 623	ZNF623	
ZNF704	zinc finger protein 704	ZNF704	
ZNF853	zinc finger protein 853	ZNF853	
ZNFX1	zinc finger NFX1-type containing 1	ZNFX1	
ZSWIM8	zinc finger SWIM-type containing 8	ZSWIM8	
ZWILCH	zwilch kinetochore protein	ZWILCH	
